text,label
"Обстріл Харкова з РСЗВ – пошкоджено інфраструктуру",attack
"Колона танків РФ помічена на трасі біля Сватового",movement
"Україна знищила власну інфраструктуру, щоб звинуватити росію",disinfo
"Сьогодні сонячно, гарна погода для прогулянки",neutral
"Повідомляють про нові удари по енергетичній інфраструктурі",attack
"Ворожа техніка рухається в напрямку Бахмута",movement
"Росія рятує українців від нацизму",disinfo
"Вітаємо всіх з Новим роком!",neutral
"Пошкоджено підстанцію внаслідок нічної атаки дронами",attack
"ЗСУ помітили переміщення техніки в районі Кремінної",movement
"Західні медіа замовчують правду про Донбас",disinfo
"Працює кафе біля парку, приємна атмосфера",neutral
"Ворог готується до наступу на північному напрямку",attack
"Підрозділи переміщуються до кордону для ротації",movement
"Поширюють фейк про атаку на цивільні об’єкти",disinfo
"Сьогодні гарна погода, всі в доброму настрої",neutral
"Планується штурм позицій завтра вночі",attack
"Техніка рухається в бік фронту",movement
"Новини повідомляють неправду про наші втрати",disinfo
"Команда готується до звичайного тренування",neutral
"Закликають атакувати мирні міста",attack
"Група вирушила на нову локацію",movement
"Окупанти відкрили вогонь по житлових кварталах у Костянтинівці",attack
"Дрони-камікадзе атакували об’єкти в Київській області",attack
"Зафіксовано артилерійський обстріл інфраструктури у Нікополі",attack
"Противник завдав ракетного удару по складу пального",attack
"Триває масована атака по південному напрямку",attack
"Військові колони помічені біля Сіверська",movement
"Техніка залишає позиції в районі Лимана",movement
"Переміщення ворожих БМП фіксується поблизу Куп’янська",movement
"Колона бронетехніки рухається в напрямку Запоріжжя",movement
"Сили противника передислокуються на східному фронті",movement
"Українські військові самі обстрілюють цивільне населення",disinfo
"Відео з нібито атакою ЗСУ виявилось постановкою",disinfo
"Українська влада вигадає перемоги, щоб отримати допомогу",disinfo
"Війна вигідна Києву для утримання влади",disinfo
"НАТО керує діями української армії напряму",disinfo
"На вихідних планується фестиваль мистецтв",neutral
"Місцевий ринок сьогодні працює до 18:00",neutral
"У бібліотеці з’явились нові книжки",neutral
"Школярі повернулися до навчання після канікул",neutral
"У місті запустили нову лінію громадського транспорту",neutral
"У Дніпрі відкрилася нова фотовиставка просто неба",neutral
"Росія використовує гуманітарну допомогу для шпигунства",disinfo
"Тривають вибухи в районі Покровська після ракетного удару",attack
"Військова техніка РФ просувається в бік Авдіївки",movement
"Завтра в Києві відбудеться концерт класичної музики",neutral
"Ракети поцілили у промислову зону Запоріжжя",attack
"На заході країни триває звичайне навчання резервістів",neutral
"Підрозділи ЗСУ помітили активність ворожих дронів у тилу",movement
"Є докази, що США навмисно затягують війну",disinfo
"Повідомляють про потужну атаку дронів у Миколаєві",attack
"Росія направляє війська для миротворчої місії",disinfo
"Колона вантажівок із боєприпасами вирушила з Бєлгорода",movement
"У Харкові відкрився новий центр волонтерської допомоги",neutral
"Фейки про успіхи ЗСУ розганяють для підтримки настроїв",disinfo
"Українські дрони вразили склади пального ворога",attack
"Ворожа піхота просувається вздовж траси Т0504",movement
"Сьогодні в центрі міста проводять вуличний ярмарок",neutral
